time,value,unit
0,521.7014738376866,kg/s
1,455.6199662523238,kg/s
2,476.0740485630406,kg/s
3,517.4813760027179,kg/s
4,475.31169610365805,kg/s
5,528.4431543028535,kg/s
6,496.60057274447416,kg/s
7,479.81427873129377,kg/s
8,464.90191934631616,kg/s
9,489.29639182407067,kg/s
10,465.59117832976614,kg/s
11,515.46790805993,kg/s
12,487.3534978403844,kg/s
13,517.5397077398079,kg/s
14,518.6199261118379,kg/s
15,506.23130464965345,kg/s
16,494.6148320467168,kg/s
17,528.1081048995522,kg/s
18,509.11278083648835,kg/s
19,488.6110498128957,kg/s
20,491.7561993494344,kg/s
21,464.4532537729937,kg/s
22,527.2075459717745,kg/s
23,501.452024627144,kg/s
24,467.05576713634,kg/s
25,502.18106540438566,kg/s
26,528.0083743154395,kg/s
27,472.82294040226844,kg/s
28,502.17464709673936,kg/s
29,525.0472927389391,kg/s
30,483.45917860013225,kg/s
31,513.7747444914421,kg/s
32,493.073613739066,kg/s
33,515.8675094739582,kg/s
34,487.0471981876776,kg/s
35,529.133821371329,kg/s
36,488.22324076291306,kg/s
37,501.1186674533438,kg/s
38,495.654889452385,kg/s
39,525.8634422760133,kg/s
40,475.0897134020468,kg/s
41,476.7889219245709,kg/s
42,495.66595875891977,kg/s
43,477.13939562446797,kg/s
44,496.0091285153501,kg/s
45,454.09497839335,kg/s
46,505.73585383359335,kg/s
47,471.89324589247235,kg/s
48,476.37312812754425,kg/s
49,514.442852160049,kg/s
50,523.5475893193435,kg/s
51,514.7424725768998,kg/s
52,487.89236126418774,kg/s
53,477.5853941407566,kg/s
54,501.80615048843595,kg/s
55,501.899431094228,kg/s
56,486.44198463630966,kg/s
57,479.30958154364964,kg/s
58,505.550176678658,kg/s
59,506.045096159149,kg/s
60,502.3636710663014,kg/s
61,512.5068006328302,kg/s
62,473.77982062498126,kg/s
63,498.4879253509941,kg/s
64,499.374234475451,kg/s
65,497.31918339394014,kg/s
66,539.2886912992651,kg/s
67,491.1804258783657,kg/s
68,452.15646022901177,kg/s
69,517.2371139910559,kg/s
70,511.67841718341214,kg/s
71,533.4566688978917,kg/s
72,531.184070128815,kg/s
73,499.8841703006673,kg/s
74,497.74019808894764,kg/s
75,487.0859898703343,kg/s
76,516.69797736059,kg/s
77,505.6213119407305,kg/s
78,474.8115864543041,kg/s
79,520.0429413203848,kg/s
80,526.1194349741464,kg/s
