time,value,unit
0,115.69575215358654,C
1,118.39050023833819,C
2,125.30573084654002,C
3,126.13592777200552,C
4,109.34068107871556,C
5,110.89065385153421,C
6,114.57828735713068,C
7,121.51522159919055,C
8,122.00847100155255,C
9,131.00961103398626,C
10,120.87391401169707,C
11,123.34700595791098,C
12,115.2877454788564,C
13,125.57789563486321,C
14,109.56315868159272,C
15,121.53867409292641,C
16,119.11457659471324,C
17,120.46201406663796,C
18,125.16388449578116,C
19,123.48222148660574,C
20,123.81272383835059,C
21,111.56856705719453,C
22,116.5694869813552,C
23,126.84021932440884,C
24,129.39862668967595,C
25,113.74797980441218,C
26,113.63595094629109,C
27,111.73926838258691,C
28,114.10694765306492,C
29,115.58434789928755,C
30,120.98726717674309,C
31,125.36245932930524,C
32,117.06182268535143,C
33,118.56351375630233,C
34,119.44260201105689,C
35,106.18933528794948,C
36,112.33861594792069,C
37,109.6882303663003,C
38,122.29910554550587,C
39,123.98523403405227,C
40,121.39101941226193,C
41,122.8523816626319,C
42,120.31088762848192,C
43,122.20913354752574,C
44,128.42892629380296,C
45,115.88828132484954,C
46,107.5216157506985,C
47,112.84620901995314,C
48,123.56618358686725,C
49,127.19316975639146,C
50,115.16905592637389,C
51,125.82934090364284,C
52,114.49400072051684,C
53,136.2424992912007,C
54,124.7251337832818,C
55,127.07191867749395,C
56,119.07264054345642,C
57,123.83778209506929,C
58,121.09457668668654,C
59,118.59559829745139,C
60,129.83951748560494,C
61,119.58008283255548,C
62,120.17364288009267,C
63,118.74212337222322,C
64,126.03240305259726,C
65,119.0303558555718,C
66,125.57982898188438,C
67,123.7182887792118,C
68,124.40316928274164,C
69,131.06386155244752,C
70,111.9582777221696,C
71,125.65354865470144,C
72,119.65230812104919,C
73,122.81684918932098,C
74,112.97650773646318,C
75,116.14648665376501,C
76,114.69153614481702,C
77,126.4022101399885,C
78,124.16630260796722,C
79,113.3747358674423,C
80,119.12645411929805,C
81,108.21610853500974,C
82,120.8854994083882,C
83,116.47425122255856,C
84,128.10815725897643,C
85,118.14607195711181,C
86,122.11946186416424,C
87,124.35777799834501,C
88,111.189002402938,C
89,126.0010185810294,C
90,120.97338844012093,C
91,120.90279576024514,C
92,112.90927008523681,C
93,116.45813280945197,C
94,115.83036672697486,C
95,120.9968467268509,C
96,116.37705808000149,C
97,129.80027632664695,C
98,110.68019804889754,C
99,125.0256034840627,C
100,122.11808274358667,C
101,111.35653499425966,C
102,111.53637888868907,C
103,115.06197503653792,C
104,122.37919979735983,C
105,123.68554279546962,C
106,119.95438670401784,C
107,131.15748236766538,C
108,120.37726344568293,C
109,126.58592663451567,C
110,119.94944798801988,C
111,119.37244134519959,C
112,122.26589631809999,C
113,128.65959358315797,C
114,127.59506790189992,C
115,118.26766706537967,C
116,111.78381065601629,C
117,127.94126101634241,C
118,133.56409869287253,C
119,114.47617918044335,C
120,116.76233772894325,C
121,124.61984779819754,C
122,118.76351437035069,C
123,125.25609374439385,C
124,120.13063461073696,C
125,124.04230707563693,C
126,117.20707654262738,C
127,118.39035068557016,C
128,116.36769701305056,C
129,119.0961979403864,C
130,119.22926218154426,C
131,116.40616662094818,C
132,123.8559141865522,C
133,126.62853841053554,C
134,119.2462000707512,C
135,126.36138372950326,C
136,118.28188367402088,C
137,126.97306679887987,C
138,117.4608786805212,C
139,113.50727335235183,C
140,115.60620246505329,C
141,116.36679043109761,C
142,120.60645231907544,C
143,116.26134005262809,C
144,116.81479979034292,C
145,124.1695331441106,C
146,114.09827241707984,C
147,124.4171258419175,C
148,118.57342030365419,C
149,128.40185621341817,C
150,119.85297374743539,C
151,119.71074948307664,C
152,119.29443235452887,C
153,125.6706878286186,C
154,123.11264715285114,C
155,116.1570740183433,C
156,108.43907027652537,C
157,124.45314869779874,C
158,116.50339369119723,C
159,120.48692620485302,C
160,121.16849560908051,C
161,121.81572882085138,C
162,117.1959291259656,C
163,127.7365132973645,C
164,120.18695068393127,C
165,116.30932048292958,C
