time,value,unit
0,5.0,psi
1,5.003003003003003,psi
2,5.006006006006006,psi
3,5.009009009009009,psi
4,5.012012012012012,psi
5,5.015015015015015,psi
6,5.018018018018018,psi
7,5.021021021021021,psi
8,5.024024024024024,psi
9,5.027027027027027,psi
10,5.03003003003003,psi
11,5.033033033033033,psi
12,5.036036036036036,psi
13,5.039039039039039,psi
14,5.042042042042042,psi
15,5.045045045045045,psi
16,5.048048048048048,psi
17,5.051051051051051,psi
18,5.054054054054054,psi
19,5.057057057057057,psi
20,5.06006006006006,psi
21,5.063063063063063,psi
22,5.066066066066066,psi
23,5.069069069069069,psi
24,5.072072072072072,psi
25,5.075075075075075,psi
26,5.078078078078078,psi
27,5.081081081081081,psi
28,5.084084084084084,psi
29,5.087087087087087,psi
30,5.09009009009009,psi
31,5.093093093093093,psi
32,5.096096096096096,psi
33,5.099099099099099,psi
34,5.102102102102102,psi
35,5.105105105105105,psi
36,5.108108108108108,psi
37,5.111111111111111,psi
38,5.114114114114114,psi
39,5.117117117117117,psi
40,5.12012012012012,psi
41,5.123123123123123,psi
42,5.126126126126126,psi
43,5.129129129129129,psi
44,5.132132132132132,psi
45,5.135135135135135,psi
46,5.138138138138138,psi
47,5.141141141141141,psi
48,5.1441441441441444,psi
49,5.147147147147147,psi
50,5.15015015015015,psi
51,5.153153153153153,psi
52,5.156156156156156,psi
53,5.1591591591591595,psi
54,5.162162162162162,psi
55,5.165165165165165,psi
56,5.168168168168168,psi
57,5.171171171171171,psi
58,5.1741741741741745,psi
59,5.177177177177177,psi
60,5.18018018018018,psi
61,5.183183183183183,psi
62,5.186186186186186,psi
63,5.1891891891891895,psi
64,5.192192192192192,psi
65,5.195195195195195,psi
66,5.198198198198198,psi
67,5.201201201201201,psi
68,5.2042042042042045,psi
69,5.207207207207207,psi
70,5.21021021021021,psi
71,5.213213213213213,psi
72,5.216216216216216,psi
73,5.2192192192192195,psi
74,5.222222222222222,psi
75,5.225225225225225,psi
76,5.228228228228228,psi
77,5.231231231231231,psi
78,5.2342342342342345,psi
79,5.237237237237237,psi
80,5.24024024024024,psi
81,5.243243243243243,psi
82,5.246246246246246,psi
83,5.2492492492492495,psi
84,5.252252252252252,psi
85,5.255255255255255,psi
86,5.258258258258258,psi
87,5.261261261261261,psi
88,5.2642642642642645,psi
89,5.267267267267267,psi
90,5.27027027027027,psi
91,5.273273273273273,psi
92,5.276276276276276,psi
93,5.2792792792792795,psi
94,5.282282282282282,psi
95,5.285285285285285,psi
96,5.288288288288288,psi
97,5.291291291291291,psi
98,5.2942942942942945,psi
99,5.297297297297297,psi
100,5.3003003003003,psi
101,5.303303303303303,psi
102,5.306306306306306,psi
103,5.3093093093093096,psi
104,5.312312312312312,psi
105,5.315315315315315,psi
106,5.318318318318318,psi
107,5.321321321321321,psi
108,5.324324324324325,psi
109,5.327327327327327,psi
110,5.33033033033033,psi
111,5.333333333333333,psi
112,5.336336336336336,psi
113,5.33933933933934,psi
114,5.342342342342342,psi
115,5.345345345345345,psi
116,5.348348348348348,psi
117,5.351351351351352,psi
118,5.354354354354355,psi
119,5.357357357357357,psi
120,5.36036036036036,psi
121,5.363363363363363,psi
122,5.366366366366367,psi
123,5.36936936936937,psi
124,5.372372372372372,psi
125,5.375375375375375,psi
126,5.378378378378378,psi
127,5.381381381381382,psi
128,5.384384384384385,psi
129,5.387387387387387,psi
130,5.39039039039039,psi
131,5.393393393393393,psi
132,5.396396396396397,psi
133,5.3993993993994,psi
134,5.402402402402402,psi
135,5.405405405405405,psi
136,5.408408408408408,psi
137,5.411411411411412,psi
138,5.414414414414415,psi
139,5.4174174174174174,psi
140,5.42042042042042,psi
141,5.423423423423423,psi
142,5.426426426426427,psi
143,5.42942942942943,psi
144,5.4324324324324325,psi
145,5.435435435435435,psi
146,5.438438438438438,psi
147,5.441441441441442,psi
148,5.444444444444445,psi
149,5.4474474474474475,psi
150,5.45045045045045,psi
151,5.453453453453453,psi
152,5.456456456456457,psi
153,5.45945945945946,psi
154,5.4624624624624625,psi
155,5.465465465465465,psi
156,5.468468468468468,psi
157,5.471471471471472,psi
158,5.474474474474475,psi
159,5.4774774774774775,psi
160,5.48048048048048,psi
161,5.483483483483483,psi
162,5.486486486486487,psi
163,5.48948948948949,psi
164,5.4924924924924925,psi
165,5.495495495495495,psi
166,5.498498498498498,psi
167,5.501501501501502,psi
168,5.504504504504505,psi
169,5.5075075075075075,psi
170,5.51051051051051,psi
171,5.513513513513513,psi
172,5.516516516516517,psi
173,5.51951951951952,psi
174,5.5225225225225225,psi
175,5.525525525525525,psi
176,5.528528528528528,psi
177,5.531531531531532,psi
178,5.534534534534535,psi
179,5.5375375375375375,psi
180,5.54054054054054,psi
181,5.543543543543543,psi
182,5.546546546546547,psi
183,5.54954954954955,psi
184,5.5525525525525525,psi
185,5.555555555555555,psi
