time,value,unit
0,62.85354838289654,psi
1,61.736546638917865,psi
2,56.627965228354654,psi
3,59.019858305796575,psi
4,59.20722666310338,psi
5,56.74121808844798,psi
6,60.504907588606,psi
7,62.81760265140192,psi
8,60.24489372799748,psi
9,60.92879790372643,psi
10,57.57167497646837,psi
11,60.41913651577983,psi
12,64.2819305688572,psi
13,60.74084649722506,psi
14,60.361636855791566,psi
15,57.52171255583352,psi
16,59.941605889312385,psi
17,56.265624718725036,psi
18,59.131643344955584,psi
19,59.39401331824393,psi
20,55.89555810230292,psi
21,58.06797526589267,psi
22,60.802495800289364,psi
23,54.8718960037459,psi
24,63.498543790166245,psi
25,63.99916720522019,psi
26,63.12402790016667,psi
27,63.213937757587715,psi
28,57.18270277584937,psi
29,60.94385626477447,psi
30,60.42345081484953,psi
31,63.26751364296384,psi
32,53.651272055256534,psi
33,59.01847206282705,psi
34,56.884217240209026,psi
35,59.21049735344666,psi
36,60.46841951056083,psi
37,62.99643236361198,psi
38,59.683808574398384,psi
39,60.561634442646174,psi
40,61.684595242193375,psi
41,61.76814515035855,psi
42,56.665136763846746,psi
43,56.48631183366429,psi
44,63.2397868578044,psi
45,61.30643055385426,psi
46,59.762846806963424,psi
47,62.7192677568178,psi
48,59.32266028276806,psi
49,55.41981628546943,psi
50,62.37686855845837,psi
51,58.57933969433722,psi
52,59.5249413743927,psi
53,66.89568246137276,psi
54,62.786756548913566,psi
55,57.46607083105483,psi
56,59.100028058077136,psi
57,62.22864275689776,psi
58,57.732460861086125,psi
59,58.345453616507065,psi
60,57.02929865305346,psi
61,62.03019624027514,psi
62,60.61723911898313,psi
63,65.13199100840868,psi
64,64.6880617336005,psi
65,57.21436678640355,psi
66,61.28712773807945,psi
67,57.0313096994566,psi
68,57.803917107521485,psi
69,59.06572192671234,psi
70,63.418878067287906,psi
71,57.449017155542876,psi
72,64.1156196883283,psi
73,59.903908569575705,psi
74,59.350830896106686,psi
75,63.1266220746295,psi
76,66.02600792999903,psi
77,58.69265305930652,psi
78,61.01778633994874,psi
79,59.25194052089509,psi
80,58.905736279648295,psi
81,56.56188235293507,psi
82,53.47087867543474,psi
83,60.82269022303849,psi
84,59.69297996181103,psi
85,60.59723083042063,psi
86,63.38730594619282,psi
87,58.75375989385311,psi
88,60.01940217218638,psi
89,58.07919189492387,psi
90,60.01983298716352,psi
91,59.5099283525637,psi
92,51.7503819204838,psi
93,60.689405187786136,psi
94,58.637513529856804,psi
95,60.27515303020156,psi
96,55.13327323013898,psi
97,58.848188076590674,psi
98,58.14822898928704,psi
99,56.60319162578193,psi
100,59.67192309977688,psi
101,60.22813506639313,psi
102,61.85052753607579,psi
103,58.91562237596167,psi
104,56.08092440240405,psi
105,58.502480684873454,psi
106,59.32222208414266,psi
107,61.4571142819435,psi
108,56.35610099075322,psi
109,63.85328581665531,psi
110,61.51151747225382,psi
111,65.17779242726805,psi
112,57.96864409066513,psi
113,63.06864267275498,psi
114,68.2644927851615,psi
115,60.77126533773771,psi
116,59.01538944553616,psi
117,58.127306139795515,psi
118,55.90054525663985,psi
119,56.86747445309241,psi
120,60.87601425416144,psi
121,62.13558667520593,psi
122,58.16882284408144,psi
123,59.612687235177475,psi
124,59.56727639789616,psi
125,56.11123516660566,psi
126,60.703465499413284,psi
127,58.34087850378426,psi
128,56.968198912741336,psi
129,61.082566004974126,psi
130,62.01885652083061,psi
131,58.435611005784224,psi
132,59.32797007691653,psi
133,64.87148139984835,psi
134,59.15406048195073,psi
135,56.711974788182296,psi
136,59.524076919071774,psi
137,60.366727249418346,psi
138,63.51805307701467,psi
139,55.60184100209576,psi
140,60.52073983793346,psi
141,60.56880497199591,psi
142,56.77753163657994,psi
143,62.94697930600353,psi
144,58.564064625736634,psi
145,60.299902248328365,psi
146,59.88714258205848,psi
147,56.60171985244082,psi
148,57.850920361209305,psi
149,65.02388317283331,psi
150,57.003978039197854,psi
151,57.73917311187608,psi
152,57.658969130358535,psi
153,60.122472103000135,psi
154,56.60916960626224,psi
155,58.048791382938276,psi
156,61.52779318629626,psi
157,60.30651948758966,psi
158,62.229581089952724,psi
159,56.003968453988385,psi
160,58.547744165021165,psi
161,60.65476161466132,psi
162,63.56427282419477,psi
163,59.26474226627047,psi
164,63.65968144194519,psi
165,61.55946569672449,psi
166,59.92263677271762,psi
167,60.102595300480495,psi
168,64.55315563120038,psi
169,60.30519532427321,psi
170,62.669179028440695,psi
171,59.00808881982371,psi
172,59.843772803026496,psi
173,59.34758837643817,psi
174,65.19401056068055,psi
175,61.74597732953794,psi
176,59.14664556514302,psi
177,58.06886550343211,psi
178,62.3554448485528,psi
179,63.32206765653988,psi
180,59.15841562861756,psi
181,56.41840515899169,psi
182,59.10860363820737,psi
183,58.49169889576253,psi
184,59.62536172816202,psi
185,68.47163858880299,psi
186,65.09679767260383,psi
187,58.07738148864484,psi
188,70.21399563232198,psi
189,58.680718405538414,psi
190,59.72444149362003,psi
191,61.26071289218751,psi
192,58.35189143834434,psi
193,62.66916879395141,psi
194,65.74670839838024,psi
195,57.46980282379387,psi
196,67.9017491443328,psi
197,62.1848950553208,psi
198,60.89894665229069,psi
199,61.784666035191144,psi
200,59.759556797994534,psi
201,57.4317540515825,psi
202,56.484493283023994,psi
203,58.90325048828611,psi
204,61.01673874596221,psi
205,62.07385736029865,psi
206,58.60180370518296,psi
207,56.21199419319955,psi
208,57.91904452691308,psi
209,55.996348901681706,psi
210,58.868079446303014,psi
211,62.410262802766084,psi
212,58.910050820195764,psi
213,63.120871277870116,psi
214,61.408490337378076,psi
215,60.23500859654406,psi
216,63.03858353723784,psi
217,55.513467174036286,psi
218,59.46892900168519,psi
219,67.88969187744189,psi
220,59.08053762572605,psi
221,66.13621191241678,psi
222,61.47966196240157,psi
223,55.52679841258046,psi
224,57.972707431421775,psi
225,60.70976471209947,psi
226,60.222819909012884,psi
227,60.67886570067779,psi
228,58.80715354745168,psi
229,59.5926253198529,psi
230,61.95145294416128,psi
231,59.36790152353134,psi
232,57.713176666068506,psi
233,61.496778667075525,psi
234,61.44955474767998,psi
235,59.49239370358373,psi
236,63.10559556125807,psi
237,59.40020586463185,psi
238,57.54398347764436,psi
239,55.07411518112369,psi
240,59.54106193989108,psi
241,58.45361577367101,psi
242,62.60105398836535,psi
243,56.659384368894706,psi
244,60.98689576115491,psi
245,62.322526003065775,psi
246,54.86898169698535,psi
247,60.652811998631485,psi
248,57.96027237256935,psi
249,56.38031048574416,psi
250,63.47296312934733,psi
251,58.58333303211165,psi
252,64.43661418729091,psi
253,54.20805957858803,psi
254,57.10542687437525,psi
255,54.188981130122684,psi
256,53.868657633657875,psi
257,53.52073117750309,psi
258,58.00768465479059,psi
259,60.15007416131074,psi
260,63.56008025035648,psi
261,56.994966562140526,psi
262,63.137486047637026,psi
263,57.06904945034896,psi
264,62.860252282908064,psi
265,61.35691806424744,psi
266,60.35218860953536,psi
267,57.05051237293195,psi
268,62.51800814989715,psi
269,64.41441159651795,psi
270,57.660991094805865,psi
271,61.40122457204969,psi
272,64.7446629403891,psi
273,59.198848476594804,psi
274,61.09435930547322,psi
275,54.59178776250908,psi
276,61.168186402516525,psi
277,64.52034499837492,psi
278,64.52288975174328,psi
279,55.1027211221965,psi
280,58.538432654130126,psi
281,53.47104360608117,psi
282,59.15084146184591,psi
283,56.19175039347078,psi
284,63.716015211871486,psi
285,64.4557808254958,psi
286,57.2991760086255,psi
287,68.52520213795053,psi
288,61.14656651189801,psi
289,62.58945681490098,psi
290,61.087921554721696,psi
291,62.64700623566355,psi
292,62.53981367129403,psi
293,59.15103424256878,psi
294,59.076136223529126,psi
295,63.77651156031467,psi
296,61.231221401772224,psi
297,63.20551703281791,psi
298,59.462572102463405,psi
299,61.82093153005915,psi
300,60.01307572384045,psi
301,62.15043484555435,psi
302,62.859442093108996,psi
303,61.58938253689363,psi
304,65.99936814936436,psi
305,61.19114190942729,psi
306,57.05320197810832,psi
307,62.986316869283264,psi
308,60.14351106782311,psi
309,62.51167003301147,psi
310,56.70965404581872,psi
311,59.08017885814396,psi
312,56.56305397015005,psi
313,63.44691645050025,psi
314,60.893792654174675,psi
315,59.49909230168932,psi
316,61.09474803519133,psi
317,60.4283176290764,psi
318,59.24612497499139,psi
319,63.97314203050306,psi
320,60.55160793634248,psi
321,58.59489193272412,psi
322,56.580268054164826,psi
323,67.87165474421847,psi
324,60.25406366100243,psi
325,60.33256121814318,psi
326,58.89628810827095,psi
327,58.862600003494904,psi
328,65.97600433557997,psi
329,62.85267078659579,psi
330,58.05696024329313,psi
331,62.08415814459488,psi
332,55.7697256120657,psi
333,64.73030151790947,psi
334,63.60351765969674,psi
335,54.51804928901407,psi
336,61.99237876442333,psi
337,61.04723794890829,psi
338,60.04431558929173,psi
339,63.84613519926826,psi
340,63.9648341843875,psi
341,56.70625269627919,psi
342,60.474650387150895,psi
343,58.883876522195436,psi
344,59.3361793299309,psi
345,63.04066673971479,psi
346,60.7571617249356,psi
347,59.93931162441159,psi
348,61.22023455100477,psi
349,53.97586965394917,psi
350,61.79595828959586,psi
351,61.18081190582478,psi
352,61.88980704467128,psi
353,62.19642196147028,psi
354,58.655898785055506,psi
355,60.93073807701333,psi
356,62.128722384025096,psi
357,53.62934081670106,psi
358,57.66915631126972,psi
359,60.42386949898945,psi
360,61.52210283681337,psi
361,59.130991891219985,psi
362,60.46704313325535,psi
363,62.94927718322691,psi
364,59.259103803039274,psi
365,63.282283088934605,psi
366,59.55962013603131,psi
367,57.450865304290005,psi
368,59.45394625009772,psi
369,60.721545887426,psi
370,56.355462690346634,psi
371,62.2413642621475,psi
372,55.644223065846525,psi
373,64.75230247118779,psi
374,62.130516568646044,psi
375,59.223997213030366,psi
376,63.06849067472538,psi
377,60.77235553197505,psi
378,58.56581644961618,psi
379,60.98547547290738,psi
380,61.469111829111796,psi
381,59.712505682596486,psi
382,60.765420438575724,psi
383,56.77581977514878,psi
384,57.15791561990256,psi
385,63.81538006638588,psi
386,64.41535953573558,psi
387,59.576447511032626,psi
388,56.87106743079254,psi
389,57.94369771460089,psi
390,60.958722253842886,psi
391,58.912954001578086,psi
392,58.9595518448876,psi
393,61.04382110744449,psi
394,57.96157358502571,psi
395,57.536301868798645,psi
396,57.8218059663508,psi
397,61.85171243750741,psi
398,59.09178676634927,psi
399,56.35705999875316,psi
400,54.58045042341674,psi
401,57.671805470122294,psi
402,56.61265989682327,psi
403,58.74105975782189,psi
404,59.53902966603761,psi
405,60.66577541745853,psi
406,58.707890309527464,psi
407,64.46068839781108,psi
408,60.618878330468476,psi
409,62.0445460485662,psi
410,59.84638742116922,psi
411,66.10423397935584,psi
412,60.484288341469636,psi
413,52.30830677360682,psi
414,60.6983639536508,psi
415,61.88259839518211,psi
416,62.23010424185093,psi
417,63.33107281932278,psi
418,49.933697529715744,psi
419,64.92756431784926,psi
420,59.849803740128664,psi
421,59.192532515373735,psi
422,60.72521271525008,psi
423,63.077281811849296,psi
424,61.489196950373405,psi
425,66.01642310307416,psi
426,62.73770854937096,psi
427,61.021374308551735,psi
428,62.320776092692334,psi
429,60.89195789968128,psi
430,55.612713912082896,psi
431,51.55482393690525,psi
432,61.14563438615883,psi
433,60.99382549302871,psi
434,59.056707145519475,psi
435,59.45899326457557,psi
436,60.94859123786935,psi
437,59.732781971209896,psi
438,55.367333642230754,psi
439,52.46543236431737,psi
440,60.1051161903071,psi
441,54.96513814471705,psi
442,63.57768103836057,psi
443,59.68804182979409,psi
444,63.30901862890277,psi
445,58.54542155200717,psi
446,67.18594279224754,psi
447,61.83283020530323,psi
448,59.7519766325136,psi
449,61.13646544778104,psi
450,63.909347780723756,psi
451,57.787287275664454,psi
452,60.13419367935267,psi
453,63.49078012722897,psi
454,62.346181527216864,psi
455,58.05704240512974,psi
456,62.88107158590271,psi
457,51.7802195779647,psi
458,69.15317256477523,psi
459,58.894835747658675,psi
460,58.70509312290183,psi
461,61.77452489663934,psi
462,61.0016866898878,psi
463,58.92963098147475,psi
