time_d,hole_dia_mm
0,0.1
1,0.13877551020408163
2,0.17755102040816328
3,0.2163265306122449
4,0.25510204081632654
5,0.29387755102040813
6,0.3326530612244898
7,0.37142857142857144
8,0.4102040816326531
9,0.44897959183673475
10,0.4877551020408163
11,0.5265306122448979
12,0.5653061224489796
13,0.6040816326530613
14,0.6428571428571428
15,0.6816326530612244
16,0.7204081632653061
17,0.7591836734693878
18,0.7979591836734694
19,0.836734693877551
20,0.8755102040816326
21,0.9142857142857143
22,0.9530612244897959
23,0.9918367346938776
24,1.0306122448979593
25,1.0693877551020408
26,1.1081632653061226
27,1.146938775510204
28,1.1857142857142857
29,1.2244897959183674
30,1.263265306122449
31,1.3020408163265307
32,1.3408163265306123
33,1.379591836734694
34,1.4183673469387756
35,1.4571428571428573
36,1.495918367346939
37,1.5346938775510206
38,1.573469387755102
39,1.6122448979591837
40,1.6510204081632653
41,1.689795918367347
42,1.7285714285714286
43,1.7673469387755103
44,1.806122448979592
45,1.8448979591836736
46,1.8836734693877553
47,1.922448979591837
48,1.9612244897959186
49,2.0
