time,value,unit
0,149.1168497603815,psi
1,136.23500025640806,psi
2,142.05350650902093,psi
3,153.3166582140866,psi
4,151.91850615997149,psi
5,153.1834037371376,psi
6,149.82392987346083,psi
7,168.2141075879913,psi
8,153.17777449920112,psi
9,148.35857705768535,psi
10,156.95874530950076,psi
11,147.10159289749805,psi
12,147.50412285129758,psi
13,142.22790784360694,psi
14,148.79882285221868,psi
15,143.8014779369474,psi
16,163.74361558517145,psi
17,145.87206460371104,psi
18,160.78943388667238,psi
19,158.4352803289768,psi
20,140.09677288332796,psi
21,147.28431985394198,psi
22,150.31737813333865,psi
23,138.17382765734112,psi
24,165.93889473841347,psi
25,164.2113834768602,psi
26,138.65548144267126,psi
27,139.26521736205288,psi
28,151.24681985418542,psi
29,142.54559364476603,psi
30,147.9532521130877,psi
31,147.7917339868867,psi
32,157.65355954994715,psi
33,157.46276588701915,psi
34,159.26350767031266,psi
35,150.91800757507022,psi
36,151.6812886646769,psi
37,166.34162437559587,psi
38,159.86530537093523,psi
39,154.99807790659582,psi
40,147.74783601988258,psi
41,131.48795790713444,psi
42,151.70447199122677,psi
43,157.48908996772886,psi
44,147.50756637125846,psi
45,149.63730549433618,psi
46,142.9445888366778,psi
47,151.61305130304245,psi
48,138.52866334487337,psi
49,148.65673896456045,psi
50,152.79309764369006,psi
51,164.7454712054553,psi
52,148.7020669205785,psi
53,138.40422989666695,psi
54,146.41217643139717,psi
55,156.48966060091777,psi
56,146.14387160798816,psi
57,148.29891293199614,psi
58,139.67579118268463,psi
59,143.6008602035021,psi
60,136.1181789128412,psi
61,155.30149192848344,psi
62,158.79986892428497,psi
63,160.35959889906184,psi
64,164.0963581944827,psi
65,154.28793915392367,psi
66,143.18605900711944,psi
67,143.36407170474698,psi
68,133.247673154066,psi
69,146.50456267272756,psi
70,156.2101709857181,psi
71,172.50287796620475,psi
72,141.96131132514626,psi
73,156.75366421469852,psi
74,146.31025446429646,psi
75,150.8581195008559,psi
76,148.31923777023732,psi
77,147.36900598774628,psi
78,146.2526493384547,psi
79,147.12175228988463,psi
80,154.62285459521465,psi
81,144.88775908067808,psi
82,151.2280992338974,psi
83,144.87717136728492,psi
84,149.809623100206,psi
85,158.21507498259982,psi
86,153.1657077771998,psi
87,158.76165475078787,psi
